#KSL
ID	Taxon	Gloss	GlossID	Orthography	IPA	Tokens	CogID
1424	Turkish	tree	178	ağaç	aɣaʤ	a ɣ a ʤ	350
#
1425	Albanian	true	179	vërtetë	vərtet	v ə r t e t	-814
1426	English	true	179	true	tru	t r u	815
1427	French	true	179	vrai	vrɛ	v r ɛ	814
1428	German	true	179	wahr	vaːr	v aː r	814
1429	Hawaiian	true	179	`oia`i`o	ʔoiaʔiʔo	ʔ o i a ʔ i ʔ o	818
1430	Latin	true	179	verus	weːro	w eː r o	814
1431	Navajo	true	179	'aaníí	ʔaːniː	ʔ aː n iː	817
1432	Turkish	true	179	doğru	doɣru	d o ɣ r u	816
#
1433	Albanian	two	180	dy	dy	d y	145
1434	English	two	180	two	tu	t u	145
1435	French	two	180	deux	dø	d ø	145
1436	German	two	180	zwei	ʦvai	ʦ v ai	145
1437	Hawaiian	two	180	lua	lua	l u a	148
1438	Latin	two	180	duo	duo	d u o	145
1439	Navajo	two	180	naaki	naːki	n aː k i	147
1440	Turkish	two	180	iki	iki	i k i	146
#
1441	Albanian	vomit	181	vjell	vjeł	v j e ł	1211
1442	English	vomit	181	vomits	vɑmət	v ɑ m ə t	-1209
1443	French	vomit	181	vomit	vɔmi	v ɔ m i	-1209
1444	German	vomit	181	erbricht	erbrex	e r b r e x	1208
1445	Hawaiian	vomit	181	lua`i	luaʔi	l u a ʔ i	1213
1446	Latin	vomit	181	vomit	wome	w o m e	1209
1447	Navajo	vomit	181	náshkwi	naykwi	n ay kw i	1212
1448	Turkish	vomit	181	kusuyor	kus	k u s	1210
#
1449	Albanian	wash	182	lau	la	l a	667
1450	English	wash	182	washes	wɑʃ	w ɑ ʃ	666
1451	French	wash	182	lave	lave	l a v e	667
1452	German	wash	182	wäscht	vaʃ	v a ʃ	666
1453	Hawaiian	wash	182	holoi	holoi	h o l o i	670
1454	Latin	wash	182	lavat	lawaː	l a w aː	667
1455	Navajo	wash	182	yiisgis	jiːgis	j iː g i s	669
1456	Turkish	wash	182	yıkıyor	jɯka	j ɯ k a	668
#
1457	Albanian	water	183	ujë	uj	u j	527
1458	English	water	183	water	wɑtər	w ɑ t ə r	527
1459	French	water	183	eau	o	o	528
1460	German	water	183	Wasser	vasər	v a s ə r	527
1461	Hawaiian	water	183	wai	wai	w a i	531
1462	Latin	water	183	aqua	akwa	a kw a	528
1463	Navajo	water	183	tó	to	t o	530
1464	Turkish	water	183	su	suj	s u j	529
#
1465	Albanian	we	184	né	n	n	499
1466	English	we	184	we	wi	w i	498
1467	French	we	184	nous	nu	n u	499
1468	German	we	184	wir	viːr	v iː r	498
1469	Hawaiian	we	184	mākou	maːkou	m aː k o u	502
1470	Latin	we	184	nos	noː	n oː	499
1471	Navajo	we	184	nihí	nihi	n i h i	501
1472	Turkish	we	184	biz	b	b	500
#
1473	Albanian	wet	185	lagët	lagət	l a g ə t	141
1474	English	wet	185	wet	wɛt	w ɛ t	139
1475	French	wet	185	mouillé	muje	m u j e	138
1476	German	wet	185	nass	nas	n a s	137
1477	Hawaiian	wet	185	pulu	pulu	p u l u	144
1478	Latin	wet	185	umidus	uːmido	uː m i d o	143
1479	Navajo	wet	185	ditƚéé'	ditˡeːʔ	d i tˡ eː ʔ	142
1480	Turkish	wet	185	ıslak	ɯslak	ɯ s l a k	140
#
1481	Albanian	what	186	ç'	ʧ	ʧ	418
1482	English	what	186	what	wɑt	w ɑ t	416
1483	French	what	186	quoi	kwa	k w a	416
1484	German	what	186	was	v	v	416
1485	Hawaiian	what	186	aha	aha	a h a	420
1486	Latin	what	186	quid	kwo	kw o	416
1487	Navajo	what	186	ha'át'íísh	haʔaytˀiːʃ	h a ʔ ay tˀ iː ʃ	419
1488	Turkish	what	186	ne	ne	n e	417
#
1489	Albanian	white	187	bardhë	barð	b a r ð	535
1490	English	white	187	white	wait	w ai t	532
1491	French	white	187	blanc	blɑ̃ʃ	b l ɑ̃ ʃ	-533
1492	German	white	187	weiß	vais	v ai s	532
1493	Hawaiian	white	187	ke`oke`o	keʔokeʔo	k e ʔ o k e ʔ o	538
1494	Latin	white	187	albus	albo	a l b o	537
1495	Navajo	white	187	ƚigai	ɬigai	ɬ i g a i	536
1496	Turkish	white	187	ak	ak	a k	534
#
1497	Albanian	who	188	kush	k	k	992
1498	English	who	188	who	hu	h u	992
1499	French	who	188	qui	ki	k i	992
1500	German	who	188	wer	veː	v eː	992
1501	Hawaiian	who	188	wai	wai	w a i	995
1502	Latin	who	188	quis	kwo	kw o	992
1503	Navajo	who	188	háí	hayi	h ay i	994
1504	Turkish	who	188	kim	kim	k i m	993
#
1505	Albanian	wide	189	gjerë	ɟer	ɟ e r	184
1506	English	wide	189	wide	waid	w ai d	181
1507	French	wide	189	large	larʒ	l a r ʒ	182
1508	German	wide	189	weit	vait	v ai t	181
1509	Hawaiian	wide	189	ākea	aːkea	aː k e a	187
1510	Latin	wide	189	latus	laːto	l aː t o	186
1511	Navajo	wide	189	niteel	niteːl	n i t eː l	185
1512	Turkish	wide	189	geniş	geniʃ	g e n i ʃ	183
#
1513	Albanian	wife	190	grua	gru	g r u	1165
1514	English	wife	190	wife	waif	w ai f	1163
1515	French	wife	190	femme	fam	f a m	1162
1516	German	wife	190	Gattin	gatin	g a t i n	1161
1517	Hawaiian	wife	190	wahine	wahine	w a h i n e	1168
1518	Latin	wife	190	uxor	uksor	u k s o r	1167
1519	Navajo	wife	190	'a'áád	ʔaːd	ʔ aː d	1166
1520	Turkish	wife	190	karı	karɯ	k a r ɯ	1164
#
1521	Albanian	wind	191	erë	er	e r	-1235
1522	English	wind	191	wind	wɪnd	w ɪ n d	1233
1523	French	wind	191	vent	vɑ̃	v ɑ̃	1233
1524	German	wind	191	Wind	vind	v i n d	1233
1525	Hawaiian	wind	191	makani	makani	m a k a n i	1237
1526	Latin	wind	191	ventus	wento	w e n t o	1233
1527	Navajo	wind	191	níƚch'i	niɬʧˀi	n i ɬ ʧˀ i	1236
1528	Turkish	wind	191	rüzgar	ryzgaːr	r y z g aː r	-1234
#
1529	Albanian	wing	192	fletë	flet	f l e t	1230
1530	English	wing	192	wing	wɪŋ	w ɪ ŋ	-1228
1531	French	wing	192	aile	ɛl	ɛ l	1227
1532	German	wing	192	Flügel	flyːgəl	f l yː g ə l	1226
1533	Hawaiian	wing	192	`ēheu	ʔeːheu	ʔ eː h e u	1232
1534	Latin	wing	192	ala	aːla	aː l a	1227
1535	Navajo	wing	192	'at'a'	tˀaʔ	tˀ a ʔ	1231
1536	Turkish	wing	192	kanat	kanad	k a n a d	1229
#
1537	Albanian	wipe	193	fshin	fʃi	f ʃ i	1139
1538	English	wipe	193	wipes	waip	w ai p	1137
1539	French	wipe	193	essuie	esɥije	e s ɥ i j e	1136
1540	German	wipe	193	wischt	viʃ	v i ʃ	1135
1541	Hawaiian	wipe	193	kāwele	kaːwele	k aː w e l e	-1142
1542	Latin	wipe	193	terget	tergeː	t e r g eː	1141
1543	Navajo	wipe	193	nánísht'od	naynitˀod	n ay n i tˀ o d	1140
1544	Turkish	wipe	193	siliyor	sil	s i l	1138
#
1545	Albanian	with	194	me	me	m e	92
1546	English	with	194	with	wɪθ	w ɪ θ	94
1547	French	with	194	avec	avɛk	a v ɛ k	93
1548	German	with	194	mit	mit	m i t	92
1549	Hawaiian	with	194	me	me	m e	98
1550	Latin	with	194	cum	kum	k u m	97
1551	Navajo	with	194	biƚ	iɬ	i ɬ	96
1552	Turkish	with	194	ile	ile	i l e	95
#
1553	Albanian	woman	195	grua	gru	g r u	859
1554	English	woman	195	woman	wʊmən	w ʊ m ə n	857
1555	French	woman	195	femme	fam	f a m	856
1556	German	woman	195	Frau	frau	f r au	855
1557	Hawaiian	woman	195	wahine	wahine	w a h i n e	862
1558	Latin	woman	195	mulier	mulier	m u l i e r	861
1559	Navajo	woman	195	'asdzání	ʔasʣayni	ʔ a s ʣ ay n i	860
1560	Turkish	woman	195	kadın	kadɯn	k a d ɯ n	-858
#
1561	Albanian	woods	196	pyll	pył	p y ł	-34
1562	English	woods	196	woods	wʊd	w ʊ d	32
1563	French	woods	196	bois	bwa	b w a	-31
1564	German	woods	196	Wald	vald	v a l d	30
1565	Hawaiian	woods	196	ulu lā`au	ululaːʔau	u l u l aː ʔ a u	37
1566	Latin	woods	196	silva	silwa	s i l w a	36
1567	Navajo	woods	196	tsintah	ʦintah	ʦ i n t a h	35
1568	Turkish	woods	196	orman	orman	o r m a n	33
#
1569	Albanian	worm	197	krimb	krimb	k r i m b	886
1570	English	worm	197	worm	wərm	w ə r m	884
1571	French	worm	197	ver	vɛr	v ɛ r	884
1572	German	worm	197	Wurm	vurm	v u r m	884
1573	Hawaiian	worm	197	ko`e	koʔe	k o ʔ e	888
1574	Latin	worm	197	vermis	wermi	w e r m i	884
1575	Navajo	worm	197	ch'osh	ʧˀoʃ	ʧˀ o ʃ	887
1576	Turkish	worm	197	solucan	soluʤan	s o l u ʤ a n	-885
#
1577	Albanian	year	198	vit	vit	v i t	406
1578	English	year	198	year	jɪr	j ɪ r	403
1579	French	year	198	année	ane	a n e	404
1580	German	year	198	Jahr	jaːr	j aː r	403
1581	Hawaiian	year	198	makahiki	makahiki	m a k a h i k i	408
1582	Latin	year	198	annus	anːo	a nː o	404
1583	Navajo	year	198	hai	hai	h ai	407
1584	Turkish	year	198	sene	sene	s e n e	-405
#
1585	Albanian	yellow	199	verdhë	verð	v e r ð	-16
1586	English	yellow	199	yellow	jɛlo	j ɛ l o	14
1587	French	yellow	199	jaune	ʒon	ʒ o n	14
1588	German	yellow	199	gelb	gelb	g e l b	14
1589	Hawaiian	yellow	199	melemele	melemele	m e l e m e l e	19
1590	Latin	yellow	199	flavos	flaːwo	f l aː w o	18
1591	Navajo	yellow	199	ƚitso	ɬiʦo	ɬ i ʦ o	17
1592	Turkish	yellow	199	sarı	sarɯ	s a r ɯ	15
#
1593	Albanian	you	200	ju	ju	j u	1029
1594	English	you	200	you	ju	j u	1028
1595	French	you	200	vous	vu	v u	1029
1596	German	you	200	ihr	iːr	iː r	1028
1597	Hawaiian	you	200	`oukou	ʔou	ʔ o u	1032
1598	Latin	you	200	vos	woː	w oː	1029
1599	Navajo	you	200	nihí	nihi	n i h i	1031
1600	Turkish	you	200	siz	s	s	1030
